incoming_amt,incoming_expiry,incoming_add_ts,incoming_remove_ts,outgoing_amt,outgoing_expiry,outgoing_add_ts,outgoing_remove_ts,forwarding_node,forwarding_alias,chan_in,chan_out
1002,224,1711662745,1711662745,2,80,1711662745,1711662745,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
2983,408,1711662745,1711662745,1983,328,1711662745,1711662745,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,344147139559424,346346162814976
3896,488,1711662745,1711662745,2896,408,1711662745,1711662745,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,333152023281664,347445674442752
2896,408,1711662745,1711662745,1896,328,1711662745,1711662745,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,346346162814976
1039,224,1711662745,1711662745,39,80,1711662745,1711662745,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
2001,432,1711662745,1711662745,1001,288,1711662745,1711662745,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,329853488398336
1001,288,1711662745,1711662745,1,144,1711662745,1711662745,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,329853488398336,341948116303872
110549,488,1711662745,1711662745,109549,408,1711662745,1711662745,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,337550069792768,347445674442752
109549,408,1711662745,1711662745,108549,328,1711662745,1711662745,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,346346162814976
75251,260,1711662745,1711662745,74615,160,1711662745,1711662745,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,336450558164992,345246651187200
2470,520,1711662745,1711662745,1470,420,1711662745,1711662745,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,345246651187200,336450558164992
3951,260,1711662745,1711662745,3335,160,1711662745,1711662745,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,333152023281664,345246651187200
