incoming_amt,incoming_expiry,incoming_add_ts,incoming_remove_ts,outgoing_amt,outgoing_expiry,outgoing_add_ts,outgoing_remove_ts,forwarding_node,forwarding_alias,chan_in,chan_out
1002,224,1711662539149317333,1711662539149327166,2,80,1711662539149319541,1711662539149321458,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
2983,408,1711662569152647791,1711662569152663875,1983,328,1711662569152655791,1711662569152657916,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,344147139559424,346346162814976
3896,488,1711662587149927833,1711662587149945916,2896,408,1711662587149932041,1711662587149945666,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,333152023281664,347445674442752
2896,408,1711662587149932041,1711662587149945666,1896,328,1711662587149933958,1711662587149938166,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,346346162814976
1039,224,1711662603165381166,1711662603165394875,39,80,1711662603165384833,1711662603165387541,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
2001,432,1711662607150069250,1711662607150085708,1001,288,1711662607150071750,1711662607150085416,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,329853488398336
1001,288,1711662607150071750,1711662607150085416,1,144,1711662607150073250,1711662607150075250,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,329853488398336,341948116303872
110549,488,1711662647149537333,1711662647149549291,109549,408,1711662647149541583,1711662647149549083,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,337550069792768,347445674442752
109549,408,1711662647149541583,1711662647149549083,108549,328,1711662647149543041,1711662647149546958,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,346346162814976
75251,260,1711662653153051583,1711662653153061750,74615,160,1711662653153053708,1711662653153055750,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,336450558164992,345246651187200
2470,520,1711662665173746666,1711662665173766500,1470,420,1711662665173750750,1711662665173754583,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,345246651187200,336450558164992
3951,260,1711662711153817875,1711662711153827750,3335,160,1711662711153819750,1711662711153821708,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,333152023281664,345246651187200
