incoming_amt,incoming_expiry,incoming_add_ts,incoming_remove_ts,outgoing_amt,outgoing_expiry,outgoing_add_ts,outgoing_remove_ts,forwarding_node,forwarding_alias,chan_in,chan_out
6077,488,1711636423040680416,1711636423040696416,5077,408,1711636423040684666,1711636423040696166,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,333152023281664,347445674442752
5077,408,1711636423040684666,1711636423040696166,4077,328,1711636423040686458,1711636423040690250,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,346346162814976
1130,224,1711636425046985083,1711636425046990500,130,80,1711636425046987000,1711636425046989041,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
35320,520,1711636429059913000,1711636429059921041,34318,420,1711636429059915625,1711636429059919000,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,345246651187200,336450558164992
1002,224,1711636435049748541,1711636435049754375,2,80,1711636435049750708,1711636435049752750,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
1015,224,1711636439058199125,1711636439058203166,15,80,1711636439058200833,1711636439058202666,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
1004,288,1711636439060614916,1711636439060618916,4,144,1711636439060616583,1711636439060617291,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,345246651187200,341948116303872
1975,576,1711636441045060833,1711636441045065375,975,432,1711636441045061750,1711636441045064791,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,329853488398336,345246651187200
5809,488,1711636441045089500,1711636441045097041,4807,344,1711636441045091041,1711636441045096791,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,329853488398336
4807,344,1711636441045091041,1711636441045096791,3807,264,1711636441045091458,1711636441045093000,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,329853488398336,344147139559424
1001,576,1711636441047391458,1711636441047393708,1,432,1711636441047392833,1711636441047393250,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,329853488398336,345246651187200
13977,260,1711636443043699500,1711636443043705333,13358,160,1711636443043701708,1711636443043703666,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,337550069792768,345246651187200
782793,300,1711636445049128041,1711636445049133958,781958,200,1711636445049129958,1711636445049133708,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,336450558164992,345246651187200
781958,200,1711636445049129958,1711636445049133708,780958,120,1711636445049130250,1711636445049132083,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,345246651187200,339749093048320
2094,428,1711636451050334541,1711636451050357250,1094,284,1711636451050338541,1711636451050357000,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,329853488398336
1094,284,1711636451050338541,1711636451050357000,94,140,1711636451050340500,1711636451050346500,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,329853488398336,345246651187200
59037,408,1711636451066476625,1711636451066480250,58037,328,1711636451066478458,1711636451066478958,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,346346162814976
1024,224,1711636451068834916,1711636451068838250,24,80,1711636451068836541,1711636451068836958,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
1216,224,1711636453076117375,1711636453076128708,216,80,1711636453076122625,1711636453076125458,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
94538,468,1711636453118949041,1711636453118953208,93538,388,1711636453118950750,1711636453118952916,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,344147139559424,348545186070528
188422,340,1711636455039477500,1711636455039491500,187422,260,1711636455039483625,1711636455039491291,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,339749093048320,344147139559424
187422,260,1711636455039483625,1711636455039491291,186422,180,1711636455039485291,1711636455039489333,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,344147139559424,346346162814976
22165,260,1711636459060522250,1711636459060528083,21543,160,1711636459060524333,1711636459060526458,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,336450558164992,345246651187200
6703,240,1711636461064360083,1711636461064364750,6203,140,1711636461064362041,1711636461064364541,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,332052511653888
1302,224,1711636461084812541,1711636461084818041,302,80,1711636461084815708,1711636461084816291,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
2214,408,1711636461087211875,1711636461087214500,1214,328,1711636461087213750,1711636461087214208,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,346346162814976
1001,224,1711636461089572250,1711636461089574250,1,80,1711636461089572583,1711636461089573958,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
2013,428,1711636463068708583,1711636463068718458,1013,284,1711636463068710750,1711636463068718208,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,329853488398336
1013,284,1711636463068710750,1711636463068718208,13,140,1711636463068712375,1711636463068714750,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,329853488398336,345246651187200
1003,224,1711636465107040666,1711636465107047041,3,80,1711636465107042916,1711636465107046333,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
58160,200,1711636471040061916,1711636471040071666,57160,120,1711636471040066083,1711636471040069625,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,344147139559424,339749093048320
2810,428,1711636471047018000,1711636471047025791,1810,284,1711636471047020291,1711636471047025541,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,338649581420544,329853488398336
1810,284,1711636471047020291,1711636471047025541,810,140,1711636471047022166,1711636471047024000,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,329853488398336,345246651187200
16640,408,1711636471131091375,1711636471131095458,15640,328,1711636471131093291,1711636471131094000,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,344147139559424,346346162814976
1009,224,1711636473111594166,1711636473111609916,9,80,1711636473111601666,1711636473111607500,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
1059,224,1711636483123593500,1711636483123606958,59,80,1711636483123599375,1711636483123603875,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
2002,428,1711636485073434250,1711636485073449625,1002,284,1711636485073437875,1711636485073448375,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,329853488398336
1002,284,1711636485073437875,1711636485073448375,2,140,1711636485073439791,1711636485073443750,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,329853488398336,345246651187200
3833863,244,1711636485073671750,1711636485073676083,3832852,144,1711636485073673708,1711636485073675541,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,336450558164992,335351046537216
1235,576,1711636487044232583,1711636487044236333,235,432,1711636487044234208,1711636487044234875,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,339749093048320,345246651187200
194671,408,1711636487133222000,1711636487133225666,193671,328,1711636487133223875,1711636487133224333,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,346346162814976
2969,520,1711636495047744125,1711636495047753541,1969,420,1711636495047747916,1711636495047751541,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,337550069792768,336450558164992
2256340,520,1711636495047842208,1711636495047853583,2255192,420,1711636495047849666,1711636495047851541,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,347445674442752,336450558164992
262972,520,1711636497148905166,1711636497148915208,261972,420,1711636497148907833,1711636497148913375,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,345246651187200,337550069792768
707288,224,1711636499039804083,1711636499039808583,705936,80,1711636499039806250,1711636499039808041,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,348545186070528,344147139559424
10926,468,1711636499158545791,1711636499158557541,9926,388,1711636499158548000,1711636499158550208,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,348545186070528
8130,520,1711636501151878541,1711636501151884458,7130,420,1711636501151881625,1711636501151883750,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,345246651187200,336450558164992
17144,520,1711636501154389958,1711636501154392291,16143,420,1711636501154390541,1711636501154391916,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,345246651187200,336450558164992
1904,288,1711636501163733875,1711636501163737750,904,144,1711636501163734500,1711636501163736250,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,345246651187200,341948116303872
86860,404,1711636503042645041,1711636503042652583,85788,260,1711636503042647166,1711636503042651333,02f460ae6d3d3e104f8afe520ae0cff3d94c35c2ba8df66da89f3c8006a265b90a,2,334251534909440,336450558164992
85788,260,1711636503042647166,1711636503042651333,85149,160,1711636503042648541,1711636503042650625,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,336450558164992,345246651187200
7138,260,1711636503051860750,1711636503051864708,6521,160,1711636503051862416,1711636503051863083,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,337550069792768,345246651187200
8717,520,1711636503051923166,1711636503051928916,7717,420,1711636503051925083,1711636503051927166,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,333152023281664,336450558164992
87942,408,1711636503158240333,1711636503158244833,86942,328,1711636503158242291,1711636503158244166,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,344147139559424,346346162814976
170894,520,1711636503160680791,1711636503160684583,169894,420,1711636503160682583,1711636503160684125,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,345246651187200,337550069792768
1732773,520,1711636505165146333,1711636505165158916,1731773,420,1711636505165150750,1711636505165156541,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,345246651187200,337550069792768
3102,520,1711636507066311041,1711636507066319333,2102,420,1711636507066315291,1711636507066317500,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,332052511653888,336450558164992
8709,408,1711636507169923125,1711636507169927250,7709,328,1711636507169925083,1711636507169926833,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,344147139559424,346346162814976
5936,264,1711636509081761541,1711636509081765541,4934,120,1711636509081763500,1711636509081764083,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,329853488398336
1014,224,1711636509176425541,1711636509176429083,14,80,1711636509176427291,1711636509176427708,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
21519,520,1711636511056665958,1711636511056670125,20518,420,1711636511056667833,1711636511056668541,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,347445674442752,336450558164992
2106,520,1711636513054728166,1711636513054730916,1106,420,1711636513054728916,1711636513054730458,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,337550069792768,336450558164992
1009,224,1711636517187136833,1711636517187142625,9,80,1711636517187138875,1711636517187141958,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
482014,260,1711636519058181083,1711636519058185458,481263,160,1711636519058182916,1711636519058183833,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,337550069792768,345246651187200
10001087,848,1711636521047155833,1711636521047171666,2085,428,1711636521047159916,1711636521047171375,02f460ae6d3d3e104f8afe520ae0cff3d94c35c2ba8df66da89f3c8006a265b90a,2,334251534909440,330953000026112
2085,428,1711636521047159916,1711636521047171375,1085,284,1711636521047161541,1711636521047169916,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,329853488398336
1085,284,1711636521047161541,1711636521047169916,85,140,1711636521047163333,1711636521047167666,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,329853488398336,345246651187200
3452,408,1711636521200341416,1711636521200345458,2452,328,1711636521200343333,1711636521200345000,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,346346162814976
19717,468,1711636523199353458,1711636523199360916,18717,388,1711636523199355666,1711636523199359041,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,344147139559424,348545186070528
2108,408,1711636523204151416,1711636523204154875,1108,328,1711636523204152916,1711636523204153500,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,344147139559424,346346162814976
1048,224,1711636523208939666,1711636523208943166,48,80,1711636523208941291,1711636523208942916,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
1018,576,1711636527073990125,1711636527074000666,18,432,1711636527073994583,1711636527073998833,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,329853488398336,345246651187200
1146,264,1711636527085452583,1711636527085458416,146,120,1711636527085454458,1711636527085456583,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,329853488398336
2008,428,1711636529089258541,1711636529089272791,1008,284,1711636529089264333,1711636529089272583,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,329853488398336
1008,284,1711636529089264333,1711636529089272583,8,140,1711636529089266583,1711636529089270625,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,329853488398336,345246651187200
7596,408,1711636529219462625,1711636529219467708,6596,328,1711636529219464500,1711636529219466416,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,344147139559424,346346162814976
74379,468,1711636529229293791,1711636529229297666,73379,388,1711636529229295750,1711636529229296208,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,348545186070528
1426,224,1711636529243543958,1711636529243545958,426,80,1711636529243544291,1711636529243545708,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
1612325,404,1711636531050241541,1711636531050249291,1609960,260,1711636531050243791,1711636531050249041,02f460ae6d3d3e104f8afe520ae0cff3d94c35c2ba8df66da89f3c8006a265b90a,2,334251534909440,336450558164992
1609960,260,1711636531050243791,1711636531050249041,1608892,160,1711636531050245208,1711636531050247416,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,336450558164992,345246651187200
2002,304,1711636533062715875,1711636533062731208,1002,224,1711636533062721291,1711636533062729916,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,337550069792768,347445674442752
1002,224,1711636533062721291,1711636533062729916,2,80,1711636533062721875,1711636533062727333,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
2003,428,1711636533092957333,1711636533092967333,1003,284,1711636533092960916,1711636533092967083,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,329853488398336
1003,284,1711636533092960916,1711636533092967083,3,140,1711636533092961583,1711636533092965458,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,329853488398336,345246651187200
4297,520,1711636533223238416,1711636533223242791,3297,420,1711636533223240791,1711636533223242500,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,345246651187200,336450558164992
62192,260,1711636535097711416,1711636535097721250,61559,160,1711636535097715458,1711636535097717916,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,336450558164992,345246651187200
1046,224,1711636535252292625,1711636535252299375,46,80,1711636535252296583,1711636535252298458,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
1004,224,1711636535254682958,1711636535254685125,4,80,1711636535254683416,1711636535254684833,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
4767,220,1711636537045056791,1711636537045066416,3767,140,1711636537045060083,1711636537045066125,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,348545186070528,346346162814976
3767,140,1711636537045060083,1711636537045066125,3767,40,1711636537045060541,1711636537045064125,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,346346162814976,338649581420544
2690,520,1711636537227331875,1711636537227339833,1690,420,1711636537227335375,1711636537227339000,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,345246651187200,337550069792768
207637,468,1711636539258123625,1711636539258135291,206637,388,1711636539258127708,1711636539258131500,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,348545186070528
1162,224,1711636543268115875,1711636543268121666,162,80,1711636543268117875,1711636543268120000,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
1125501,324,1711636545078897875,1711636545078909625,1125001,224,1711636545078903000,1711636545078907125,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,332052511653888,333152023281664
2023,428,1711636549103708208,1711636549103721416,1023,284,1711636549103713541,1711636549103720166,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,329853488398336
1023,284,1711636549103713541,1711636549103720166,23,140,1711636549103714291,1711636549103719416,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,329853488398336,345246651187200
44154,520,1711636549247953291,1711636549247961500,43152,420,1711636549247955541,1711636549247959500,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,345246651187200,336450558164992
2397,520,1711636549250345541,1711636549250347583,1397,420,1711636549250346916,1711636549250347291,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,345246651187200,336450558164992
4151,260,1711636553055254583,1711636553055264625,3535,160,1711636553055258791,1711636553055262375,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,333152023281664,345246651187200
11663,632,1711636553055384500,1711636553055394875,10654,488,1711636553055387208,1711636553055394625,02f460ae6d3d3e104f8afe520ae0cff3d94c35c2ba8df66da89f3c8006a265b90a,2,334251534909440,336450558164992
10654,488,1711636553055387208,1711636553055394625,9654,408,1711636553055388666,1711636553055394333,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,336450558164992,347445674442752
9654,408,1711636553055388666,1711636553055394333,8654,328,1711636553055390458,1711636553055392666,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,346346162814976
10001836,724,1711636555058104833,1711636555058119375,2834,304,1711636555058109041,1711636555058117166,02f460ae6d3d3e104f8afe520ae0cff3d94c35c2ba8df66da89f3c8006a265b90a,2,334251534909440,330953000026112
1553,304,1711636557058767625,1711636557058775458,553,160,1711636557058771083,1711636557058773500,03d8ef4620be554d89902bc9fde9498b67790f416833b84d76298e248e4fccef56,3,340848604676096,339749093048320
3680,344,1711636557088050750,1711636557088055333,2680,264,1711636557088051666,1711636557088054750,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,329853488398336,344147139559424
2002,428,1711636557106266791,1711636557106271208,1002,284,1711636557106267333,1711636557106271000,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,329853488398336
1002,284,1711636557106267333,1711636557106271000,2,140,1711636557106269000,1711636557106270666,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,329853488398336,345246651187200
302161,244,1711636557108641416,1711636557108644875,301161,144,1711636557108643000,1711636557108643541,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,336450558164992,335351046537216
10001002,848,1711636559063236041,1711636559063254041,2001,428,1711636559063241791,1711636559063253500,02f460ae6d3d3e104f8afe520ae0cff3d94c35c2ba8df66da89f3c8006a265b90a,2,334251534909440,330953000026112
2001,428,1711636559063241791,1711636559063253500,1001,284,1711636559063243291,1711636559063253250,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,329853488398336
1001,284,1711636559063243291,1711636559063253250,1,140,1711636559063245458,1711636559063250041,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,329853488398336,345246651187200
22326,468,1711636561287934875,1711636561287941041,21326,388,1711636561287937166,1711636561287940500,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,348545186070528
1069,576,1711636563093659791,1711636563093662583,69,432,1711636563093660458,1711636563093662125,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,329853488398336,345246651187200
2469,520,1711636563263839666,1711636563263843666,1469,420,1711636563263841583,1711636563263843083,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,345246651187200,336450558164992
317693,224,1711636565048178625,1711636565048184875,316536,80,1711636565048180750,1711636565048184166,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,348545186070528,344147139559424
2029,428,1711636569067401000,1711636569067428791,1029,284,1711636569067405250,1711636569067427541,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,338649581420544,329853488398336
1029,284,1711636569067405250,1711636569067427541,29,140,1711636569067407541,1711636569067412916,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,329853488398336,345246651187200
3229,468,1711636569296531833,1711636569296534250,2229,388,1711636569296532458,1711636569296533916,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,348545186070528
1106,224,1711636569298958166,1711636569298960375,106,80,1711636569298959666,1711636569298960125,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
43834,520,1711636571277744458,1711636571277748750,42834,420,1711636571277746416,1711636571277748000,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,345246651187200,337550069792768
1016,224,1711636571303372375,1711636571303376458,16,80,1711636571303374333,1711636571303375916,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
