incoming_amt,incoming_expiry,incoming_add_ts,incoming_remove_ts,outgoing_amt,outgoing_expiry,outgoing_add_ts,outgoing_remove_ts,forwarding_node,forwarding_alias,chan_in,chan_out
1009,224,1711634009667455625,1711634009667469125,9,80,1711634009667461750,1711634009667465917,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
2357,428,1711634011668310875,1711634011668327167,1357,284,1711634011668316958,1711634011668326958,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,329853488398336
1357,284,1711634011668316958,1711634011668326958,357,140,1711634011668317333,1711634011668322417,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,329853488398336,345246651187200
1076,264,1711634011670746833,1711634011670753000,76,120,1711634011670747375,1711634011670748875,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,329853488398336
1036,224,1711634011673158708,1711634011673166667,36,80,1711634011673160667,1711634011673161208,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
1802,224,1711634011675543375,1711634011675546458,802,80,1711634011675544750,1711634011675545208,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
660072,224,1711634015668433667,1711634015668445708,658744,80,1711634015668439792,1711634015668443750,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,348545186070528,344147139559424
1009,224,1711634015682153708,1711634015682158167,9,80,1711634015682155875,1711634015682157542,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
2192,720,1711634023668199667,1711634023668213167,1192,576,1711634023668203167,1711634023668211917,03d8ef4620be554d89902bc9fde9498b67790f416833b84d76298e248e4fccef56,3,340848604676096,339749093048320
1192,576,1711634023668203167,1711634023668211917,192,432,1711634023668203750,1711634023668207125,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,339749093048320,345246651187200
132620,408,1711634023670751458,1711634023670759375,131620,328,1711634023670753458,1711634023670755125,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,344147139559424,346346162814976
